bx,by,bz,v,n,w
-4.2025576,7.162045,5.41129,540.5234375,1.2412225008010864,53.64544677734375
-4.2799296,7.318264,5.2073827,540.5234375,1.2412225008010864,53.64544677734375
-4.2025576,7.162045,5.41129,546.3411865234375,1.3132269382476807,56.9193115234375
-4.0718145,7.423042,5.1300254,503.3523254394531,1.652287244796753,55.23610305786133
-3.851331,7.5762467,5.121434,503.3523254394531,1.652287244796753,55.23610305786133
-4.0718145,7.423042,5.1300254,510.95947265625,1.5051822662353516,64.31388854980469
-3.896598,7.486069,5.2454534,534.1141357421875,1.5742117166519165,nan
-3.0578778,7.117973,5.3474693,573.9271850585938,2.2214162349700928,74.86981201171875
-3.013316,7.206796,5.2278876,573.9271850585938,2.2214162349700928,74.86981201171875
-3.0578778,7.117973,5.3474693,588.8213500976562,1.7795478105545044,nan
-2.0028987,7.389768,5.595374,560.1751098632812,2.0002458095550537,68.47653198242188
-1.978347,6.840827,5.9558864,560.1751098632812,2.0002458095550537,68.47653198242188
-2.0028987,7.389768,5.595374,551.4957275390625,2.0301640033721924,68.0050048828125
-1.3642257,6.786343,6.129875,554.5011596679688,2.0912320613861084,64.90571594238281
-1.32324,6.796257,6.0855675,554.5011596679688,2.0912320613861084,64.90571594238281
-1.3642257,6.786343,6.129875,547.622802734375,1.8457132577896118,61.72587203979492
-1.3495394,6.6524587,6.376168,532.6478271484375,1.4414805173873901,54.32310104370117
-1.0995733,6.838747,6.278849,534.2506713867188,1.2187435626983643,45.9423828125
-1.6164193,7.616318,5.27613,534.2506713867188,1.2187435626983643,45.9423828125
-1.0995733,6.838747,6.278849,523.45703125,1.7307648658752441,60.20564651489258
-1.5700626,8.114134,4.2981253,543.6459350585938,2.2471511363983154,68.41442108154297
-1.6904825,7.4704623,5.3592715,543.6459350585938,2.2471511363983154,68.41442108154297
-1.5700626,8.114134,4.2981253,552.7798461914062,2.3570516109466553,72.70381927490234
-2.0151896,7.545348,5.180542,516.0741577148438,1.355621337890625,56.400672912597656
-2.2190983,7.585889,4.9038076,516.0741577148438,1.355621337890625,56.400672912597656
-2.0151896,7.545348,5.180542,517.8699340820312,1.691351056098938,61.65771484375
-2.3733723,7.54123,4.9261093,508.447265625,1.5148839950561523,60.79499435424805
-2.6895664,7.0301785,5.451755,534.4150390625,2.6105480194091797,69.9047622680664
-2.702801,6.940907,5.430588,534.4150390625,2.6105480194091797,69.9047622680664
-2.6895664,7.0301785,5.451755,530.7769165039062,2.582660436630249,66.624267578125
-1.4040903,6.4017644,6.8258014,498.7219543457031,1.9364341497421265,60.92182540893555
-1.4053402,6.020229,7.184001,498.7219543457031,1.9364341497421265,60.92182540893555
-1.4040903,6.4017644,6.8258014,497.85028076171875,2.0122692584991455,62.27936553955078
-2.1208804,6.562859,6.2424436,514.170166015625,2.253603935241699,64.63780975341797
-1.6128657,6.633966,6.380593,514.170166015625,2.253603935241699,64.63780975341797
-2.9723344,5.744698,6.5204544,504.9579772949219,2.052354097366333,60.87851333618164
-2.7566946,5.503054,6.825094,504.9579772949219,2.052354097366333,60.87851333618164
-2.9723344,5.744698,6.5204544,507.0825500488281,1.7380445003509521,55.36305618286133
-3.73576,5.2653966,6.5532217,515.5007934570312,2.491136312484741,58.85936737060547
-3.2131553,6.5171585,5.628677,514.5662231445312,2.44802188873291,55.2963752746582
0.5229731,2.352941,9.068854,516.5999755859375,2.1786115169525146,51.027915954589844
0.2933712,2.5343726,9.022208,516.5999755859375,2.1786115169525146,51.027915954589844
-0.4699212,5.262923,7.7877226,527.1666870117188,2.1532235145568848,56.3609619140625
-3.7787795,8.10895,3.627131,527.1666870117188,2.1532235145568848,56.3609619140625
-0.4699212,5.262923,7.7877226,526.6489868164062,2.2993624210357666,58.732303619384766
-3.934235,8.443876,3.0791185,511.5224914550781,2.081050395965576,53.15858840942383
-1.0186244,4.903943,8.329231,520.9083862304688,2.197974920272827,55.44938659667969
-0.7470069,4.842886,8.345667,520.9083862304688,2.197974920272827,55.44938659667969
-1.0186244,4.903943,8.329231,530.0520629882812,2.6485888957977295,57.348018646240234
-0.20275316,3.882476,8.861076,527.3377685546875,2.3604178428649902,57.11542892456055
-4.134867,7.2294755,4.8642764,510.26123046875,2.1024246215820312,53.270565032958984
-3.7598064,7.229124,5.365027,510.26123046875,2.1024246215820312,53.270565032958984
-4.134867,7.2294755,4.8642764,516.3463134765625,2.2258195877075195,56.52613830566406
-4.1309876,7.2422357,5.1891522,516.1311645507812,2.052157163619995,53.19746017456055
-4.7526703,7.028556,5.2927046,506.73016357421875,2.25156307220459,51.568267822265625
-4.867002,7.1257553,5.1258454,506.73016357421875,2.25156307220459,51.568267822265625
-6.1559305,7.446514,2.979775,502.5348205566406,2.408541202545166,53.22943115234375
-6.0337076,7.274033,3.6878738,502.5348205566406,2.408541202545166,53.22943115234375
-6.1559305,7.446514,2.979775,510.6333923339844,2.287837505340576,51.26373291015625
-6.2320275,7.472561,2.6935527,515.3515014648438,2.2523791790008545,51.91728210449219
-6.3098316,7.5989504,2.3310797,524.4652099609375,1.351861834526062,40.85108947753906
-6.402324,7.6180515,2.158588,524.4652099609375,1.351861834526062,40.85108947753906
-6.3098316,7.5989504,2.3310797,516.2249145507812,1.7787035703659058,49.161197662353516
-6.2766643,7.622942,1.995054,515.6754150390625,1.7047133445739746,47.77888107299805
-6.127318,7.183141,3.4822361,501.1427001953125,1.693249225616455,48.600093841552734
